00	01a	01b	01c	02a	02b	02c	02d	02e	02f	02g	02h	02i	02j	03	04	08a	08b	08c	08d	08e	08f	08g	08h	08i	08j	11a	11b	11c	11d	11e	12a	12b	12c	12d	12e	12f	12g	12h	13a	13b	13c	13d	13e	13g	13h	13i	13j	13f	19a	19b	19c	19d	19e	19f	19g	19h	20	05	06	07	10	14	15	16	17a	17b	18a	21	22	23	09a
423	Senior UX Designer	2	22	Often	Occasionally	Never	Often	Occasionally	Often	Often	Often	Occasionally	Never	"1,000+ employees"	6-10 employees	1-3 years	1-3 years	0-1 year	1-3 years	1-3 years	1-3 years	1-3 years	1-3 years	0-1 year	0-1 year	Often	Often	Sometimes	Sometimes	Rarely	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Likely	Likely	Likely	Somewhat Important	Important	Important	Neutral	Important	Important	Important	Important	Very Important	Neutral	Very Important	Important	Very Important	Important	Somewhat Important	Somewhat Important	Neutral	Neutral		Internet security	"Surveys, interviews, in-app feedback (feature specific polls, FTUX guides, feedback button), competitive reviews"	"A/B testing, on-site visits (contextual inquiry)"	MHCID at UC-Irvine	Dovetails with both my interests and business's upcoming projects	"UX Week- variety of topics, formats and events"	Local UXR brown-bags	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Automating research, straddling UXD and UXR roles"	Federal considerations		"Yes, I was taught how to conduct research"
446	Senior UX Designer	2	22	Often	Often	Never	Occasionally	Occasionally	Occasionally	Occasionally	Often	Occasionally	Never	101-500 employees	50+ employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	0-1 year	10+ years	10+ years	0-1 year	Often	Often	Sometimes	Sometimes	Sometimes	Likely	Extremely likely	Likely	Unlikely	Likely	Extremely likely	Extremely likely	Extremely likely	Somewhat Important	Very Important	Very Important	Neutral	Neutral	Neutral	Very Important	Very Important	Very Important	Neutral	Somewhat Important	Neutral	Neutral	Important	Not at all Important	Not at all Important	Somewhat Important	Not at all Important		Environmental advocacy	"User research, market/segmentation, scientific studies, spatial data analysis"	More of the same	I took classes	Combination of timing and cost	An Event Apart is hands-down the best thing ever. ConvergeSE a close second.	An Event Apart	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	Getting buy-in for time and money spent from decision-makers		Have the option to purchase video at a lower cost for people with budget and travel concerns.	"Yes, I was taught how to conduct research"
435	Senior UX Designer	2	22	Often	Often	Neutral	Often	Often	Often	Often	Often	Neutral	Often	101-500 employees	1-5 employees	5-7 years	5-7 years	0-1 year	5-7 years	5-7 years	5-7 years	3-5 years	5-7 years	0-1 year	3-5 years	Often	Often	Rarely	Sometimes	Rarely	Extremely likely	Likely	Neutral	Likely	Likely	Neutral	Neutral	Likely	Important	Important	Very Important	Important	Very Important	Important	Neutral	Somewhat Important	Important	Important	Important	Neutral	Neutral	Important	Important	Neutral	Neutral	Important		Healthcare saas	"Usability testing, competitive benchmarking, surveys interviews, google, white papers "	Better analytics	"Bsc Degree, professional diploma "	Cost and timing	Topic and knowledge of speaker		Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	Recruiting usability test candidates			"Yes, I was taught how to conduct research"
432	Senior UX Designer	2	22	Often	Often	Never	Never	Occasionally	Often	Never	Often	Occasionally	Never	"1,000+ employees"	11-50 employees	1-3 years	1-3 years	0-1 year	0-1 year	1-3 years	1-3 years	1-3 years	1-3 years	1-3 years	0-1 year	Sometimes	Often	Sometimes	Sometimes	Sometimes	Likely	Extremely likely	Extremely likely	Unlikely	Likely	Likely	Likely	Likely	Neutral	Neutral	Very Important	Neutral	Not at all Important	Not at all Important	Somewhat Important	Neutral	Very Important	Not at all Important	Important	Important	Not at all Important	Very Important	Neutral	Neutral	Important	Neutral		Financial Services	"Exploratory research, concept testing, Usability testing,"			Balance between cost and how valuable I think I will find the event. Also how applicable it is to my current job.	"Adobe Max was pretty good because there were lots of hands on workshops which allowed for learning new skills, in addition to the talks."	None :(	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	"Best practices, learnings from the field, synthesis and what to do with research findings"			"Yes, I was taught how to conduct research"
428	Senior UX Designer	2	22	Often	Often	Occasionally	Occasionally	Often	Often	Occasionally	Often	Occasionally	Occasionally	1-25 employees	1-5 employees	10+ years	10+ years	10+ years	5-7 years	10+ years	10+ years	5-7 years	10+ years	3-5 years	1-3 years	Sometimes	Often	Sometimes	Sometimes	Sometimes	Likely	Extremely likely	Likely	Unlikely	Extremely likely	Likely	Likely	Likely	Important	Important	Very Important	Neutral	Neutral	Neutral	Neutral	Very Important	Very Important	Important	Important	Important	Somewhat Important	Very Important	Important	Neutral	Important	Very Important		Consulting agency. Many industries	"Listening sessions, user interviews, usability testing, previous research, stakeholder interviews "	"Contextual interviews,"	"Human factors. Applied experimental psychology masters program. Ran experiments, participated, etc."	What i can afford and what topic is covered	Indi young in sf listening sessions workshop. She is very good and nice plus I traveled  to event  for first time	"Problem space research indi young, research night 2 , nate bolt, 5 online research classes with indi young"	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	Qualitative vs quantitative. Examples of success and best practices in each. Ethnographic study case studies . Problem space vs solution space. Lean and how to do research in that mode. Research leadership and persuasion	"Indi young, steve portigal, jared sppol, dana chisnell, cyd harrell, alan cooper, bill scott, nate bolt, cooper design, ideo, psychology researchers, anthropologists "	Do it in LA.	"No, I was not taught how to conduct research"
427	Senior UX Designer	2	22	Often	Often	Never	Occasionally	Never	Often	Never	All or almost all	Occasionally	Never	"1,000+ employees"	50+ employees	5-7 years	3-5 years	1-3 years	1-3 years	10+ years	5-7 years	0-1 year	10+ years	1-3 years	1-3 years	Sometimes	Sometimes	Sometimes	Never	Sometimes	Likely	Extremely likely	Likely	Likely	Likely	Unlikely	Unlikely	Extremely unlikely	Somewhat Important	Neutral	Very Important	Important	Somewhat Important	Somewhat Important	Somewhat Important	Important	Very Important	Not at all Important	Important	Important	Neutral	Neutral	Important	Important	Very Important	Neutral	Webinars would be nice and hopefully more affordable.	Telecom	"Product validation (surveys, Google analytics, and 1-1 calls with customers on new features)"	Contextual inquiries and storymap workshops		If it can be expensed	"IXDA.  Great speakers, location, variety of topics, and social activities"	Small Workshop.  I'd love to go to more.	Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Quantitative research, operationalizing research"	"Just, experts that can share advice and knowledge"	Make it affordable please!	"Yes, I was taught how to conduct research"
426	Senior UX Designer	2	22	Occasionally	Occasionally	Never	Occasionally	Occasionally	Occasionally	Never	Often	Never	Never	"1,000+ employees"	50+ employees	3-5 years	5-7 years	0-1 year	1-3 years	5-7 years	5-7 years	0-1 year	5-7 years	0-1 year	0-1 year	Rarely	Sometimes	Sometimes	Rarely	Sometimes	Likely	Extremely likely	Extremely likely	Likely	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Somewhat Important	Neutral	Very Important	Neutral	Neutral	Neutral	Neutral	Very Important	Very Important	Neutral	Neutral	Important	Important	Important	Neutral	Somewhat Important	Somewhat Important	Important		"Government,  health, fintech, commercial "	"Usability studies,  surveys,  ethnographic "	All the above	"Classes, participayed"	"Topics, then format, cost, location"	"When I furst started, going to the IA Summit whete I leaned about a wide range of topics and had grrat networking opportunities. "	"Webinars, meetup on presenting findings"	Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"New ways to conduct research, guerrilla testing that tends to be acceptable to critics of research,  practice forming neutral questions snd comments "	8	"Have variety of things: lightning talks, traditional talks, breakfast, lunch, and maybe even breaks with topic tables for those who need help networking. "	"No, I was not taught how to conduct research"
447	Senior UX Designer	2	22	Often	Often	Occasionally	Often	Neutral	Neutral	Neutral	Often	Occasionally	Often	1-25 employees	1-5 employees	3-5 years	3-5 years	3-5 years	3-5 years	3-5 years	3-5 years	5-7 years	5-7 years	1-3 years	3-5 years	Often	Often	Often	Sometimes	Sometimes	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Likely	Extremely likely	Neutral	Neutral	Important	Important	Very Important	Neutral	Neutral	Important	Important	Important	Very Important	Important	Important	Very Important	Neutral	Neutral	Neutral	Very Important	Important	Important	"short films/documentary screenings, game rooms (maybe design games?), secret speakeasy puzzles to solve (like last year's XOXO)"	creative agency	"qualitative interviews, surveys, card sorts, prototype testing, usability testing, analytics, etc"	A/B testing	read a lot of books	"If the subject sounds interesting (something I've been meaning to learn) and is affordable, and possibly if other people I know are going also. Travel is sometimes a consideration; I usually won't travel for an event/workshop"	"nothing jumps out, but I do like open-minded lectures/workshops that are non-judgemental and ask participants questions, allowing us to think through the right ways to do things. And when presenters show their real artifacts from their research, and talk through the approach they used, what worked, what didn't."	"UXDC, UXCamp, UXPA mentoring events, AIGA event about deaf designers, World IA Day, GA events"	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"How do we know that qualitative research is actually good? What makes it rigorous? How does it stand up to scrutiny best? How do long-tail SEO practices actually work, like is User Intent analysis an effective practice?"	"qualitiative researchers, quant people, teachers, practitioners, leaders of design teams heavily informed by research"	"make it fun! In an interesting city. With presenters you can talk to, not just on a pedestal. With artsy things somehow part of it. Microphones so people can hear, no obstructed views. "	"Yes, I was taught how to conduct research"
442	Senior UX Designer	2	22	Occasionally	Often	Occasionally	Never	Occasionally	Occasionally	Never	Often	Never	Never	"1,000+ employees"	50+ employees	5-7 years	10+ years	0-1 year	0-1 year	7-10 years	1-3 years	0-1 year	10+ years	0-1 year	0-1 year	Often	Often	Often	Rarely	Rarely	Extremely likely	Extremely likely	Extremely likely	Likely	Extremely likely	Likely	Extremely likely	Extremely likely	Somewhat Important	Neutral	Very Important	Very Important	Neutral	Very Important	Very Important	Important	Very Important	Important	Important	Important	Very Important	Very Important	Neutral	Important	Important	Important		Finance	"Interviews, usability testing "	dunno					Small conference: < 300 attendees	2	Unconference: Attendees bring the content and the schedule emerges from who wants to present				"No, I was not taught how to conduct research"
440	Senior UX Designer	2	22	Often	Often	Never	Neutral	Neutral	Neutral	Often	Often	Occasionally	Occasionally	1-25 employees	1-5 employees	5-7 years	5-7 years	0-1 year	3-5 years	7-10 years	3-5 years	1-3 years	10+ years	1-3 years	1-3 years	Often	Often	Often	Often	Sometimes	Likely	Extremely likely	Extremely likely	Unlikely	Neutral	Likely	Likely	Neutral	Somewhat Important	Very Important	Important	Important	Somewhat Important	Neutral	Very Important	Important	Neutral	Somewhat Important	Neutral	Important	Important	Neutral	Important	Neutral	Somewhat Important	Somewhat Important	I love case studies/retrospectives/post mortem. Think Steve Portugal's War Stories kind of...	Non-profit designed education	Usability studies. Literature reviews. Interviews. Surveys. Focus groups.	Ethnographic observation.	"BSc in Computer Science and Masters in HCI. Longtime member of ACM. Annual conferences (e.g. Fluxible, SIGCHI, etc.)."	"I prefer not to fly given the environmental impact so look for regional conferences. I want a mix of practical tools/knowledge, interesting case studies, cross disciplinary panels, etc. Cost is an issue so I look for value over brand name recognition."	"Fluxible (fluxible.ca) still represents the gold standard of smallish conferences with great, diverse, timely content and amazing people/networking. "	SIGCHI	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Cross disciplinary research techniques. With design and HCI, I love that you can learn from so many areas of research and techniques."	Mix of academics and industry research folks. I'm tired of having sessions from sponsors where the content is weak.	Do it. And do it in Toronto. :)	
437	Senior UX Designer	2	22	Often	Often	Occasionally	Neutral	Often	Neutral	Occasionally	All or almost all	Occasionally	Neutral	"1,000+ employees"	11-50 employees	1-3 years	1-3 years	1-3 years	3-5 years	0-1 year	1-3 years	0-1 year	3-5 years	1-3 years	1-3 years	Often	Often	Rarely	Sometimes	Rarely	Extremely likely	Extremely likely	Extremely likely	Neutral	Unlikely	Neutral	Likely	Neutral	Very Important	Not at all Important	Very Important	Very Important	Important	Important	Important	Very Important	Very Important	Not at all Important	Very Important	Very Important	Important	Very Important	Important	Somewhat Important	Somewhat Important	Neutral	N/A	Healthcare	"User research, Interviews, surveys (UserZoom), A/B testing"	Heatmaps	"Seminars, workshops, UX certifications"	"Reputation, location, speakers"	"STRIVE UX Toronto 2019. Amazing speakers, a wide variety of interesting topics covered. Great networking. They had a UX Lab truck so participants were able to interact with real research."	3	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"DesignOps, Extreme Design, UX Research"	"Industry leaders, icon designers, design thinkers"	"Come to RTP, North Carolina and host a live conference with local companies (IBM, Red Hat, etc). Make a documentary, a book and a website with your findings.
"	"No, I was not taught how to conduct research"
434	Senior UX Designer	2	22	Often	Often	Never	Often	Often	Often	Often	Often	Never	Occasionally	"1,000+ employees"	11-50 employees	5-7 years	5-7 years	0-1 year	3-5 years	3-5 years	3-5 years	3-5 years	5-7 years	0-1 year	1-3 years	Often	Often	Often	Often	Often	Extremely likely	Extremely likely	Extremely likely	Likely	Likely	Extremely likely	Extremely likely	Extremely likely	Very Important	Very Important	Very Important	Important	Important	Very Important	Very Important	Very Important	Important	Neutral	Very Important	Important	Important	Very Important	Important	Not at all Important	Neutral	Important	I'd love to attend a conference around scaling research and research ops.	Healthcare	"We use many different types of research methods. My UX team primarily uses qualitative research methods. We do design sessions, which is our own version of design sprints, user interviews, field studies, usability testing, surveys, card sorting, etc. "	We would like to do more quantitative research.		"I typically try to attend events that are local and at convenient times. I'm a member of several local tech Meetup groups that I attend after work. If I'm attending a conference, I try to find local conferences. I have three kids, so I don't like to be away from them. "	"The Google Design Sprint Bootcamp with John Zeratsky. It was a local event with less than 50 people. John taught the process. He was a very engaging speaker, and it was a very interactive workshop. "	I haven't attended any that were specifically for research.	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Scaling user research
Research ops
Lean research
Fitting research into agile development (we often don't have time for research, because of tight dev timelines.)"	"Jared Spool
Anyone from IDEO--Tom and David Kelley
Irene Au
Don Norman
Jakob Nielsen
Anyone from Nielsen Norman Group
Jane Pyle
Jay Melone
Phil Gilbert from IBM
John Maeda
Sean Ellis"	"Host an event in the midwest! There is a growing tech scene here, specifically in Milwaukee, WI. Many large businesses are making investments in tech and startups here. We have 1,000+ startups. These businesses need to make investments in research if they want to grow and retain customers. "	"Yes, I was taught how to conduct research"
433	Senior UX Designer	2	22	Occasionally	Occasionally	Never	Never	Occasionally	Occasionally	Occasionally	Often	Never	Never	"1,000+ employees"	11-50 employees	5-7 years	5-7 years	0-1 year	5-7 years	7-10 years	7-10 years	1-3 years	7-10 years	1-3 years	0-1 year	Often	Often	Rarely	Never	Never	Extremely likely	Extremely likely	Extremely likely	Extremely unlikely	Extremely likely	Extremely unlikely	Extremely unlikely	Extremely unlikely	Very Important	Very Important	Important	Neutral	Important	Neutral	Neutral	Important	Very Important	Neutral	Important	Very Important	Not at all Important	Important	Important	Somewhat Important	Neutral	Very Important		Insurance	"Remote testing, usability testing, secondary research"	"Exploratory, intercepts"	Masters in design; learned how to conduct ethnographic interviews and intercepts				Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Workplace transformations, how to convince non-designers and business people the value of research "	People of color and women speaking about research		"Yes, I was taught how to conduct research"
429	Senior UX Designer	2	22	Often	Often	Neutral	Often	Often	Often	Often	All or almost all	Never	Occasionally	101-500 employees	1-5 employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	0-1 year	Often	Often	Rarely	Rarely	Rarely	Likely	Extremely likely	Extremely likely	Neutral	Neutral	Unlikely	Neutral	Likely	Important	Important	Important	Somewhat Important	Important	Important	Neutral	Very Important	Very Important	Very Important	Neutral	Important	Neutral	Very Important	Very Important	Neutral	Important	Very Important	Nope.	Online Services	"Local Moderated Interception, Remote Unmoderated, In-house Moderated, Surveys. "	"All the above, plus Ethnographic Research, Remote Moderated."	"I started my UX life working for a Research Institute (Domus Academy Research Centre) in Milan, Italy, then worked for another research institute (Interaction Design Institute Ivrea) in Turin, Italy.

Then worked with companies, agencies and design studios that did extensive research with an in-house research team like LBi London, Patch.com (AOL), PayPal, Fotolog.com, eBay, Google.

I've created, participated, organised, designed and facilitated research at any level from ethnographic research for projects with the european union to paper prototyping, and everything in between."	"By the level of specificity they have on defined topics (the more specific and focussed the better), or by the openness of the topic (the more varied and cross-discipline the better)."	"Domus Academy's Masters in Design. What made it great was that it was 100% project-based, team-based and taught by designers, researchers and artists (yes, real artists!) that were active and leaders in their respective fields."	Almost none	Small conference: < 300 attendees	2	Single-track: All attendees experience the same content at the same time	"Embedding research in existing processes, Best processes for embedding research, Research result analysis."	"More people like Jan Chipchase, Jan-Christoph Zoels, that talk about what they do and how you can do the same. Less people that evangelise about the virtues of research."	Let me know if (and how) I can help.	"Yes, I was taught how to conduct research"
425	Senior UX Designer	2	22	Often	Often	Never	Occasionally	Occasionally	Often	Occasionally	Often	Never	Neutral	26-100 employees	11-50 employees	7-10 years	7-10 years	0-1 year	7-10 years	7-10 years	5-7 years	5-7 years	7-10 years	1-3 years	3-5 years	Often	Often	Sometimes	Rarely	Rarely	Likely	Likely	Neutral	Unlikely	Extremely likely	Likely	Neutral	Likely	Not at all Important	Very Important	Very Important	Important	Somewhat Important	Important	Very Important	Important	Very Important	Important	Important	Neutral	Important	Important	Not at all Important	Not at all Important	Important	Important		Government projects	"In depth interviews, competitive research, usability tests, observation, ethnographies, surveys"	"Tree testing, more in-depth ethnographies "		"I like to hear perspectives from people I’ve never heard of before. There seem to be the same experts who travel around to conferences and while I’m interested in hearing from them, I’ve probably read their books and blog before. I’m more interested in receiving practical, actionable advice than to hear more case studies. I think case studies are valuable but I need more variety."	"Talks that have me participate- for example I recently went to a talk about the science of influence regarding diversity and inclusion. The speaker led us through her concepts, but had us try each step on worksheets as we went along. I was following along each step and by doing it, I understood the concepts better. And it didn’t involve a lot of whiteboarding that would not have worked in a room of 40 ppl."	None	Small conference: < 300 attendees	2	Single-track: All attendees experience the same content at the same time	"Ethics in research, recruiting (diversity, properly representing your population, etc.), literally how not to fall into the confirmation bias trap, and how to train others to do research"	"People who work in highly regulated industries where they face constraints like access to research participants, I.e. healthcare and government."	Really try to get a mix of speakers who are seen as experts and those we haven’t heard from before. And please get a diverse group of people who don’t all work for Fortune 500 companies.	"Yes, I was taught how to conduct research"
445	Senior UX Designer	2	22	Often	Often	Never	Often	Often	Often	Occasionally	Often	Never	Occasionally	101-500 employees	1-5 employees																																											b2b SaaS								5					"Yes, I was taught how to conduct research"
441	Senior UX Designer	2	22	Often	Often	Never	Neutral	Often	Often	Occasionally	Often	Never	Often	26-100 employees	1-5 employees																																											"Media, Healthcare"	"Usability testing, a/b testing, traffic reports, heat maps"	we're pretty happy with our current mix of research tools						5					"Yes, I was taught how to conduct research"
439	Senior UX Designer	2	22	Occasionally	Occasionally	Never	Occasionally	Occasionally	Occasionally	Occasionally	Often	Never	Never	101-500 employees	1-5 employees	7-10 years	7-10 years	0-1 year	7-10 years	7-10 years	7-10 years	1-3 years	10+ years	1-3 years	0-1 year	Rarely	Sometimes	Rarely	Rarely	Rarely	Neutral	Extremely likely	Neutral	Likely	Likely	Unlikely	Unlikely	Likely	Important	Important	Very Important	Neutral	Neutral	Neutral	Neutral	Important	Very Important	Neutral										Government consulting								5					"No, I was not taught how to conduct research"
436	Senior UX Designer	2	22	All or almost all	All or almost all	Never	Often	Often	All or almost all	Often	Often	Neutral	Never	"1,000+ employees"	50+ employees	3-5 years	3-5 years	0-1 year	1-3 years	3-5 years	3-5 years	1-3 years	1-3 years	0-1 year	0-1 year	Sometimes	Often	Often	Sometimes	Often	Neutral	Likely	Extremely likely	Unlikely	Likely	Unlikely	Unlikely	Extremely likely																				IT	"We do user research.
User interviews, field studies, shadowing, surveys, card-sorting"	see previous answer						5					"No, I was not taught how to conduct research"
839	Senior UX Researcher	1	23	All or almost all	All or almost all	Never	Occasionally	Neutral	All or almost all	Neutral	Neutral	Occasionally	Never	"1,000+ employees"	50+ employees	10+ years	10+ years	0-1 year	5-7 years	10+ years	10+ years	7-10 years	7-10 years	0-1 year	0-1 year	Often	Often	Sometimes	Rarely	Rarely	Likely	Extremely likely	Likely	Extremely likely	Extremely likely	Likely	Neutral	Neutral	Important	Important	Very Important	Important	Neutral	Neutral	Neutral	Important	Very Important	Neutral	Important	Neutral	Important	Important	Neutral	Neutral	Neutral	Important		commerce	"Depends on the decision, but data from usage analytics, usability testing results, generative research findings to help identify new opportunities, surveys, etc."	More market as well as marketing research	Thesis-based MSc in HCI/Computer Science; undergrad courses also included research methods	"Basically a combination of what interests me, and what interests my organization; am I able to make a business case to send me. Travel is a consideration because of costs involved"	"It was actually a local conference that mixed business and UX (BLND - Design and Business Conference). Topics were really interesting, lots of practical advice, I felt like I learnt some new things I could try, and I also met a lot of people there (none of who I currently stay in touch with at the moment, but more than I usually do)."	"Beyond meetups, the research-related conferences I've attended have been BLND, Fluxible, and CHI"	Any of the above	6	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Data, business, market research, trends in research, trends in industry and how that relates to changes that researchers/research teams will have to adjust to, research ops"	"people from userfocus, UXRs from large organizations like Microsoft, Google, Amazon, Facebook"	Keep registration costs reasonable (<$800 USD)	"Yes, I was taught how to conduct research"
867	Senior UX Researcher	1	23	Often	Often	Occasionally	All or almost all	Often	Often	Often	Often	Occasionally	All or almost all	101-500 employees	6-10 employees	5-7 years	5-7 years	0-1 year	3-5 years	5-7 years	5-7 years	1-3 years	3-5 years	1-3 years	1-3 years	Sometimes	Often	Rarely	Rarely	Sometimes	Likely	Extremely likely	Likely	Unlikely	Neutral	Neutral	Likely	Likely	Somewhat Important	Somewhat Important	Important	Important	Somewhat Important	Neutral	Neutral	Neutral	Somewhat Important	Not at all Important	Very Important	Important	Not at all Important	Somewhat Important	Somewhat Important	Not at all Important	Neutral	Somewhat Important		Energy	"Interviews, Secondary research, Collating info from various parts of the organisation (e.g. customer comms and sales) etc.



I focus on user / design / micro research, and work closely with people who do market research"	Lots of field studies.		"Topics and reviews of past events. I'll attempt to watch videos online about this event, if any. "	"Enterprise UX 2017. :)

Exposure to a lot of people who were very experienced and far more learned than I am. 

And getting me to start thinking about the meta aspects of my work."	Can't rmb	Doesn't matter?	6	Single-track: All attendees experience the same content at the same time		"Different types of researchers! Not just user researchers, but people who study all sorts of human behaviours



Cross-country research? And research on different cultures?"		"No, I was not taught how to conduct research"
380	Senior UX Researcher	1	23	Often	Often	Occasionally	Often	Occasionally	Often	Often	All or almost all	Occasionally	Often	"1,000+ employees"	50+ employees	7-10 years	7-10 years	0-1 year	3-5 years	3-5 years	5-7 years	5-7 years	5-7 years	0-1 year	0-1 year	Often	Often	Sometimes	Sometimes	Rarely	Extremely likely	Extremely likely	Likely	Extremely likely	Extremely likely	Likely	Unlikely	Likely	Neutral	Important	Very Important	Important	Somewhat Important	Somewhat Important	Not at all Important	Important	Important	Somewhat Important	Important	Important	Important	Important	Neutral	Somewhat Important	Important	Important		C2C marketplaces	"A/B Testing, Usability Testing, Qual Interviews, Data Analytics"	Same	"I studied Industrial Design and conducting user interviews was taught as part of the design process. But not much detail about the show to do it right was taught.
In my first job at frog I was fortunate to work alongside the research lead and learning by assisting, slowly taking over more and more responsibilities while working with her."				Don’t have a preference	6	Single-track: All attendees experience the same content at the same time				
844	Senior UX Researcher	1	23	Often	Often	Never	Often	Occasionally	Often	Neutral	All or almost all	Occasionally	Never	"1,000+ employees"	11-50 employees	3-5 years	3-5 years	0-1 year	1-3 years	3-5 years	3-5 years	1-3 years	3-5 years	1-3 years	1-3 years	Sometimes	Often	Often	Rarely	Rarely	Extremely likely	Extremely likely	Likely	Neutral	Extremely likely	Likely	Likely	Likely	Neutral	Very Important	Very Important	Important	Very Important	Very Important	Neutral	Somewhat Important	Important	Important	Important	Important	Important	Important	Neutral	Somewhat Important	Somewhat Important	Important	None	Retail	"Mixture heavy on qualitative with a mixture of quantitative : Surveys, Moderated Studies (Remote + in person), Ethnographic, pulling data/metrics, Card sorting, remote unmoderated (Usertesting.com, dscout), time studies etc"	Always looking to see new ways to combine methodology gather input and data.	2 courses in undergrad for a degree in Industrial design. One was a research practices course & one was a course to support us running own research for our senior thesis. Majority of my learning has been on the job/from other researchers I have worked with	"What dates and how lines up with other plans, Topics/focus area - what am I going to take away. I almost assume that travel will be involved- try to stay to North America for convenience"	"Second hand, someone else went to a conference and brought back materials and shared with our team. What made it so great is that it was super actionable and I have refered to the tools that they brought back several times! "	"Various UXPA talks, Rosenfeld Research talks (remote), Creative Mornings, behavioral grooves meetups/talks"	Honestly a mis of retreat-mid size	7	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"I would want to see how others are approaching research- either methodology, leadership

Tactical and actionable topics "	People who are passionate	YES DO IT !	"Yes, I was taught how to conduct research"
384	Senior UX Researcher	1	23	All or almost all	All or almost all	Never	All or almost all	Occasionally	All or almost all	Often	All or almost all	Never	Neutral	"1,000+ employees"	11-50 employees	5-7 years	5-7 years	1-3 years	5-7 years	5-7 years	5-7 years	1-3 years	3-5 years	1-3 years	3-5 years	Sometimes	Often	Rarely	Never	Never	Extremely likely	Extremely likely	Neutral	Unlikely	Extremely likely	Neutral	Unlikely	Extremely likely	Neutral	Very Important	Very Important	Very Important	Somewhat Important	Somewhat Important	Not at all Important	Neutral	Very Important	Neutral	Somewhat Important	Very Important	Somewhat Important	Important	Somewhat Important	Not at all Important	Important	Important	Not that I remember	Platform / Marketplace	"Internal and External Interviews, User research, Ethnography, User Testing, A/B Testing, Analytics, Surveys."	"More ethnography, trying to incorporate video in our deliveries"		"I read the conference descriptions, look for suggestions and forums/groups and talk to friend in the industry."	"A workshop about Semiotic Analysis that I attended around 5 years ago. The approach was very didactic, with good examples and very well structured. "	Research Ops Skills workshop	I don't consider this an important factor	6	Single-track: All attendees experience the same content at the same time	"I'm very curious right now about Inclusive Research and UX Research for new technologies (AR, VR, etc)"	-	"Don't overcomplicate it and try to be accessible (in terms of language, content, costs, etc)
Don't bring people to talk only because of their titles/companies that they work from. I would love to hear about an interesting project/approach from a ""unknown"" person than to hear about ""how they do research at Google"".
"	"Yes, I was taught how to conduct research"
